"id","type_t","cluster_name_t","cluster_code_t","key_t","year_t","region_type_t","region_code_t","region_name_t","region_short_name_t","region_area_type_t","region_key_t","traded_b","subcluster_b","empflag_t","emp_tl","emp_reported_tl","qp1_tl","est_tl","ap_tl","private_wage_tf","rec_count_tl","supression_b","lq_tf","region_emp_per_tf","cluster_emp_per_tf","emp_tl_rank_i","emp_tl_per_rank_i","private_wage_tf_rank_i","private_wage_tf_per_rank_i","lq_tf_rank_i","lq_tf_per_rank_i","est_tl_rank_i","est_tl_per_rank_i","timestamp","qualifying_b","significant_b","strong_b","strong10_b","cluster_type"
"cluster/economic/57094/36/2016","cluster","Paper and Packaging",36,"paper_and_packaging",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",2590,0,0,13,0,0,10,FALSE,1.85075,0.014254814,0.00743264,53,29,NA,NA,54,33,77,43,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/35/2016","cluster","Oil and Gas Production and Transportation",35,"oil_and_gas_production_and_transportation",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",1204,164,2658,100,9995,60945.12,59,FALSE,0.5252814,0.006626562,0.0021095383,60,33,73,40,64,36,48,26,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/34/2016","cluster","Nonmetal Mining",34,"nonmetal_mining",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",530,0,0,22,0,0,18,FALSE,1.5862926,0.0029170085,0.006370575,64,35,NA,NA,97,54,79,44,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/33/2016","cluster","Music and Sound Recording",33,"music_and_sound_recording",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",30,0,0,4,0,0,3,FALSE,0.32563606,0.00016511368,0.0013077593,79,44,NA,NA,113,79,70,39,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/32/2016","cluster","Metalworking Technology",32,"metalworking_technology",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",1910,0,0,63,0,0,53,FALSE,0.9942693,0.010512237,0.003993001,57,31,NA,NA,67,37,59,33,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/31/2016","cluster","Metal Mining",31,"metal_mining",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",10,0,0,1,0,0,1,FALSE,0.060395118,5.5037894e-05,0.00024254771,60,33,NA,NA,62,74,59,33,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/30/2016","cluster","Medical Devices",30,"medical_devices",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",728,88,1150,11,4955,56306.816,7,FALSE,0.71429104,0.004006759,0.0028686037,69,38,40,22,80,45,76,42,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/29/2016","cluster","Marketing, Design, and Publishing",29,"marketing_design_and_publishing",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",2247,882,8858,287,39163,44402.496,87,FALSE,0.41260508,0.012367015,0.0016570283,72,40,101,56,131,73,69,38,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/28/2016","cluster","Livestock Processing",28,"livestock_processing",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",2810,10,82,19,366,36600,13,FALSE,1.3912472,0.015465648,0.0055872696,59,33,41,23,64,35,72,40,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/27/2016","cluster","Lighting and Electrical Equipment",27,"lighting_and_electrical_equipment",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",3255,10,103,22,437,43700,18,FALSE,2.8038263,0.017914834,0.01126021,24,13,46,25,17,10,56,31,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,TRUE,"traded"
"cluster/economic/57094/26/2016","cluster","Leather and Related Products",26,"leather_and_related_products",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",285,0,0,12,0,0,7,FALSE,2.275933,0.0015685799,0.009140181,40,22,NA,NA,41,24,49,27,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/economic/57094/25/2016","cluster","Jewelry and Precious Metals",25,"jewelry_and_precious_metals",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",185,0,0,2,0,0,2,FALSE,1.8819938,0.001018201,0.0075581158,26,14,NA,NA,23,16,102,56,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/24/2016","cluster","Insurance Services",24,"insurance_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",1724,894,19694,105,72847,81484.34,42,FALSE,0.260114,0.009488533,0.0010446218,99,55,42,23,138,77,73,40,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/23/2016","cluster","Information Technology and Analytical Instruments",23,"information_technology_and_analytical_instruments",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",547,132,2499,28,10526,79742.42,16,FALSE,0.11909604,0.0030105729,0.0004782915,113,63,70,39,154,88,83,46,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/22/2016","cluster","Hospitality and Tourism",22,"hospitality_and_tourism",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",8414,4984,23675,529,109802,22030.898,187,FALSE,0.64977354,0.046308883,0.0026095004,81,45,82,45,145,81,70,39,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/21/2016","cluster","Furniture",21,"furniture",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",1281,31,230,34,988,31870.967,29,FALSE,0.93151987,0.007050354,0.003740998,69,38,120,66,85,47,85,47,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/20/2016","cluster","Forestry",20,"forestry",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",341,101,536,50,2653,26267.326,24,FALSE,1.2596433,0.0018767922,0.005058747,61,34,109,60,69,43,61,34,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/19/2016","cluster","Footwear",19,"footwear",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",10,0,0,1,0,0,1,FALSE,0.16678034,5.5037894e-05,0.00066979235,100,55,NA,NA,92,86,92,51,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/18/2016","cluster","Food Processing and Manufacturing",18,"food_processing_and_manufacturing",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",6615,760,10989,83,41407,54482.895,65,FALSE,1.5842706,0.036407568,0.006362455,49,27,30,16,71,39,84,46,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/17/2016","cluster","Fishing and Fishing Products",17,"fishing_and_fishing_products",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",10,0,0,1,0,0,1,FALSE,0.069138706,5.5037894e-05,0.0002776621,96,53,NA,NA,93,88,92,51,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/16/2016","cluster","Financial Services",16,"financial_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",3909,2039,35133,679,140044,68682.69,212,FALSE,0.4964022,0.021514313,0.0019935588,68,38,131,73,128,71,55,30,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
